height,fall,net_fall,flow,power
602.0,67.94,66.92,5.5,3177.33
615.0,80.16,80.765,3.5,2290.13
608.0,73.04,73.365,4.5,2810.69
628.0,92.64,91.19,8.5,6831.87
621.0,85.89,85.665,6.0,4584.38
618.0,82.64,81.19,8.5,6012.87
628.0,92.89,92.665,6.0,4932.18
604.0,69.84,68.415,6.5,3914.74
624.0,90.21,89.935,3.0,2055.25
608.0,72.64,71.19,8.5,5099.53
597.0,62.84,61.415,6.5,3372.41
610.0,74.89,74.665,6.0,3990.55
605.0,70.94,69.92,5.5,3362.14
606.0,70.74,69.84,7.5,4535.03
629.0,94.1,94.55,4.0,3076.49
618.0,82.89,82.665,6.0,4428.65
606.0,72.21,71.935,3.0,1675.16
629.0,93.69,92.54,8.0,6604.63
604.0,70.1,69.55,4.0,2299.16
616.0,80.99,81.165,5.0,3537.4
622.0,87.04,87.365,4.5,3335.45
629.0,93.59,91.84,9.0,7255.22
625.0,89.64,88.19,8.5,6601.37
618.0,84.21,83.935,3.0,1957.51
597.0,62.69,60.54,8.0,3755.61
607.0,71.84,71.415,6.5,4135.26
609.0,73.64,72.19,8.5,5183.31
615.0,80.1,80.55,4.0,2686.52
616.0,80.64,79.19,8.5,5823.6
605.0,70.84,69.415,6.5,3998.5
618.0,82.94,82.92,5.5,4029.4
621.0,85.99,86.165,5.0,3737.94
613.0,78.04,78.365,4.5,3012.15
597.0,62.99,62.165,5.0,2597.17
613.0,77.69,76.54,8.0,5374.17
616.0,80.94,80.92,5.5,3934.4
607.0,72.16,72.765,3.5,2055.79
602.0,68.04,67.365,4.5,2541.98
628.0,92.94,92.92,5.5,4469.14
600.0,65.99,65.165,5.0,2757.12
628.0,92.59,90.84,9.0,7094.76
606.0,71.04,71.365,4.5,2726.64
598.0,64.04,63.365,4.5,2359.34
611.0,75.59,73.84,9.0,5518.44
626.0,90.99,91.165,5.0,3927.28
595.0,60.99,60.165,5.0,2494.59
621.0,85.74,84.84,7.5,5707.36
620.0,86.21,85.935,3.0,1996.27
629.0,93.64,92.19,8.5,6913.55
614.0,78.74,77.84,7.5,5213.25
622.0,86.84,86.415,6.5,5044.97
604.0,70.04,69.365,4.5,2637.73
617.0,81.64,80.19,8.5,5919.28
611.0,75.64,74.19,8.5,5353.22
604.0,69.64,67.19,8.5,4703.02
601.0,66.79,65.14,7.0,3897.86
593.0,59.1,58.55,4.0,1849.71
626.0,90.64,89.19,8.5,6682.03
593.0,58.89,57.665,6.0,2863.83
618.0,82.74,81.84,7.5,5497.43
625.0,89.94,89.92,5.5,4346.19
593.0,59.04,58.365,4.5,2120.8
613.0,79.21,78.935,3.0,1851.07
592.0,57.79,56.14,7.0,3065.99
627.0,91.79,91.14,7.0,5727.92
615.0,79.89,79.665,6.0,4265.8
616.0,81.04,81.365,4.5,3124.13
595.0,60.79,59.14,7.0,3422.18
608.0,72.69,71.54,8.0,4899.39
616.0,80.74,79.84,7.5,5356.86
630.0,94.59,92.84,9.0,7261.37
620.0,84.94,84.92,5.5,4147.68
620.0,84.99,85.165,5.0,3698.29
595.0,61.1,60.55,4.0,1935.13
629.0,93.94,93.92,5.5,4509.67
617.0,81.69,80.54,8.0,5708.99
591.0,57.04,56.365,4.5,2024.05
617.0,81.94,81.92,5.5,3981.74
623.0,87.69,86.54,8.0,6171.22
627.0,91.94,91.92,5.5,4427.36
609.0,74.16,74.765,3.5,2117.9
594.0,59.94,58.92,5.5,2692.87
603.0,68.94,67.92,5.5,3237.11
629.0,94.04,94.365,4.5,3558.33
592.0,57.99,57.165,5.0,2327.54
603.0,68.79,67.14,7.0,4063.35
614.0,78.94,78.92,5.5,3838.09
617.0,81.59,79.84,9.0,6098.9
625.0,90.04,90.365,4.5,3432.48
623.0,89.21,88.935,3.0,2042.36
620.0,85.1,85.55,4.0,2841.89
603.0,68.64,66.19,8.5,4572.62
626.0,90.94,90.92,5.5,4384.97
630.0,94.74,93.84,7.5,6297.76
603.0,69.04,68.365,4.5,2589.43
592.0,57.94,56.92,5.5,2569.39
602.0,67.74,65.84,7.5,4192.01
605.0,70.89,69.665,6.0,3692.94
626.0,92.21,91.935,3.0,2081.66
604.0,69.59,66.84,9.0,4591.21
629.0,94.16,94.765,3.5,2590.7
612.0,76.89,76.665,6.0,4102.62
602.0,67.99,67.165,5.0,2865.92
630.0,95.1,95.55,4.0,3090.96
599.0,64.69,62.54,8.0,4096.06
617.0,83.21,82.935,3.0,1938.47
605.0,70.64,68.19,8.5,4801.54
621.0,86.04,86.365,4.5,3299.93
601.0,66.84,65.415,6.5,3670.99
599.0,64.79,63.14,7.0,3743.56
597.0,62.89,61.665,6.0,3128.97
610.0,76.21,75.935,3.0,1776.96
608.0,72.59,70.84,9.0,5153.46
607.0,71.64,70.19,8.5,5016.03
604.0,69.89,68.665,6.0,3618.87
614.0,78.64,77.19,8.5,5632.13
612.0,76.69,75.54,8.0,5283.22
605.0,71.1,70.55,4.0,2337.68
621.0,85.59,83.84,9.0,6451.24
607.0,71.69,70.54,8.0,4806.83
612.0,76.84,76.415,6.5,4450.58
610.0,75.04,75.365,4.5,2893.53
